period,series,value
2009,DEU,7.3
2010,DEU,6.6
2011,DEU,5.5
2012,DEU,5.1
2013,DEU,4.9
2014,DEU,4.7
2015,DEU,4.4
2016,DEU,3.9
2017,DEU,3.5
2018,DEU,3.2
2019,DEU,2.9
2020,DEU,3.6
2021,DEU,3.6
2022,DEU,3.1
2023,DEU,3.1
2024,DEU,3.5
2025,DEU,3.8
2009,ESP,17.9
2010,ESP,19.9
2011,ESP,21.4
2012,ESP,24.8
2013,ESP,26.1
2014,ESP,24.5
2015,ESP,22.1
2016,ESP,19.6
2017,ESP,17.2
2018,ESP,15.3
2019,ESP,14.1
2020,ESP,15.5
2021,ESP,14.9
2022,ESP,13
2023,ESP,12.2
2024,ESP,11.4
2025,ESP,10.5
2009,EU27,9.3
2010,EU27,10.1
2011,EU27,10.1
2012,EU27,11.1
2013,EU27,11.6
2014,EU27,11
2015,EU27,10.2
2016,EU27,9.3
2017,EU27,8.3
2018,EU27,7.4
2019,EU27,6.8
2020,EU27,7.2
2021,EU27,7.1
2022,EU27,6.2
2023,EU27,6.1
2024,EU27,6
2025,EU27,6
2003,FRA,8.5
2004,FRA,8.9
2005,FRA,8.9
2006,FRA,8.9
2007,FRA,8
2008,FRA,7.4
2009,FRA,9.1
2010,FRA,9.3
2011,FRA,9.2
2012,FRA,9.8
2013,FRA,10.3
2014,FRA,10.3
2015,FRA,10.4
2016,FRA,10.1
2017,FRA,9.4
2018,FRA,9.1
2019,FRA,8.5
2020,FRA,8.1
2021,FRA,7.9
2022,FRA,7.3
2023,FRA,7.4
2024,FRA,7.4
2025,FRA,7.7
2009,ITA,7.9
2010,ITA,8.5
2011,ITA,8.5
2012,ITA,10.9
2013,ITA,12.4
2014,ITA,12.9
2015,ITA,12
2016,ITA,11.7
2017,ITA,11.3
2018,ITA,10.6
2019,ITA,9.9
2020,ITA,9.3
2021,ITA,9.5
2022,ITA,8.1
2023,ITA,7.7
2024,ITA,6.5
2025,ITA,6.1
