period,series,value
1991,CHN,2.37
1992,CHN,2.37
1993,CHN,2.69
1994,CHN,2.9
1995,CHN,3
1996,CHN,3.12
1997,CHN,3.23
1998,CHN,3.24
1999,CHN,3.25
2000,CHN,3.26
2001,CHN,3.8
2002,CHN,4.24
2003,CHN,4.58
2004,CHN,4.49
2005,CHN,4.52
2006,CHN,4.43
2007,CHN,4.35
2008,CHN,4.59
2009,CHN,4.72
2010,CHN,4.53
2011,CHN,4.55
2012,CHN,4.58
2013,CHN,4.6
2014,CHN,4.63
2015,CHN,4.65
2016,CHN,4.56
2017,CHN,4.47
2018,CHN,4.31
2019,CHN,4.56
2020,CHN,5
2021,CHN,4.55
2022,CHN,4.98
2023,CHN,4.67
2024,CHN,4.59
2025,CHN,4.615
1991,FRA,9.134
1992,FRA,10.203
1993,FRA,11.32
1994,FRA,12.593
1995,FRA,11.834
1996,FRA,12.367
1997,FRA,12.566
1998,FRA,12.074
1999,FRA,11.981
2000,FRA,10.218
2001,FRA,8.61
2002,FRA,8.702
2003,FRA,8.306
2004,FRA,8.914
2005,FRA,8.882
2006,FRA,8.832
2007,FRA,8.008
2008,FRA,7.386
2009,FRA,9.122
2010,FRA,9.279
2011,FRA,9.228
2012,FRA,9.841
2013,FRA,9.913
2014,FRA,10.273
2015,FRA,10.354
2016,FRA,10.057
2017,FRA,9.409
2018,FRA,9.018
2019,FRA,8.415
2020,FRA,8.009
2021,FRA,7.871
2022,FRA,7.303
2023,FRA,7.335
2024,FRA,7.4
2025,FRA,7.542
1991,GBR,8.55
1992,GBR,9.772
1993,GBR,10.346
1994,GBR,9.648
1995,GBR,8.694
1996,GBR,8.189
1997,GBR,7.072
1998,GBR,6.198
1999,GBR,6.042
2000,GBR,5.558
2001,GBR,4.696
2002,GBR,5.037
2003,GBR,4.807
2004,GBR,4.594
2005,GBR,4.884
2006,GBR,5.472
2007,GBR,5.399
2008,GBR,5.748
2009,GBR,7.683
2010,GBR,7.973
2011,GBR,8.195
2012,GBR,8.279
2013,GBR,7.752
2014,GBR,6.398
2015,GBR,5.552
2016,GBR,4.909
2017,GBR,4.501
2018,GBR,4.145
2019,GBR,3.657
2020,GBR,4.472
2021,GBR,4.864
2022,GBR,3.768
2023,GBR,4.025
2024,GBR,4.361
2025,GBR,4.746
1991,JPN,2.059
1992,JPN,2.158
1993,JPN,2.539
1994,JPN,2.89
1995,JPN,3.15
1996,JPN,3.383
1997,JPN,3.374
1998,JPN,4.078
1999,JPN,4.677
2000,JPN,4.748
2001,JPN,5.02
2002,JPN,5.386
2003,JPN,5.251
2004,JPN,4.734
2005,JPN,4.446
2006,JPN,4.192
2007,JPN,3.888
2008,JPN,4.002
2009,JPN,5.068
2010,JPN,5.102
2011,JPN,4.55
2012,JPN,4.358
2013,JPN,4.038
2014,JPN,3.589
2015,JPN,3.385
2016,JPN,3.132
2017,JPN,2.822
2018,JPN,2.467
2019,JPN,2.351
2020,JPN,2.809
2021,JPN,2.808
2022,JPN,2.614
2023,JPN,2.6
2024,JPN,2.5
2025,JPN,2.451
1991,USA,6.8
1992,USA,7.5
1993,USA,6.9
1994,USA,6.119
1995,USA,5.65
1996,USA,5.451
1997,USA,5
1998,USA,4.511
1999,USA,4.219
2000,USA,3.992
2001,USA,4.731
2002,USA,5.783
2003,USA,5.989
2004,USA,5.529
2005,USA,5.084
2006,USA,4.623
2007,USA,4.622
2008,USA,5.784
2009,USA,9.254
2010,USA,9.633
2011,USA,8.949
2012,USA,8.069
2013,USA,7.375
2014,USA,6.168
2015,USA,5.28
2016,USA,4.869
2017,USA,4.355
2018,USA,3.896
2019,USA,3.669
2020,USA,8.055
2021,USA,5.349
2022,USA,3.65
2023,USA,3.638
2024,USA,4.022
2025,USA,4.198
