period,series,value
1975-Q1,15-24,7
1975-Q2,15-24,7.6
1975-Q3,15-24,8.2
1975-Q4,15-24,8.6
1976-Q1,15-24,9.1
1976-Q2,15-24,9.1
1976-Q3,15-24,8.9
1976-Q4,15-24,8.9
1977-Q1,15-24,9.7
1977-Q2,15-24,10.6
1977-Q3,15-24,11
1977-Q4,15-24,10.6
1978-Q1,15-24,10.2
1978-Q2,15-24,10.4
1978-Q3,15-24,11.2
1978-Q4,15-24,11.9
1979-Q1,15-24,12.1
1979-Q2,15-24,12.3
1979-Q3,15-24,12.5
1979-Q4,15-24,12.9
1980-Q1,15-24,13.5
1980-Q2,15-24,13.6
1980-Q3,15-24,13.8
1980-Q4,15-24,14.4
1981-Q1,15-24,15.3
1981-Q2,15-24,16.1
1981-Q3,15-24,16.7
1981-Q4,15-24,17
1982-Q1,15-24,17
1982-Q2,15-24,17.4
1982-Q3,15-24,17.8
1982-Q4,15-24,17.9
1983-Q1,15-24,17.8
1983-Q2,15-24,18
1983-Q3,15-24,18.5
1983-Q4,15-24,19.6
1984-Q1,15-24,21
1984-Q2,15-24,22.1
1984-Q3,15-24,22.6
1984-Q4,15-24,23
1985-Q1,15-24,23
1985-Q2,15-24,22.3
1985-Q3,15-24,22
1985-Q4,15-24,21.5
1986-Q1,15-24,21.1
1986-Q2,15-24,21.1
1986-Q3,15-24,20.9
1986-Q4,15-24,20.5
1987-Q1,15-24,20.2
1987-Q2,15-24,20
1987-Q3,15-24,19.7
1987-Q4,15-24,19.6
1988-Q1,15-24,19.4
1988-Q2,15-24,19
1988-Q3,15-24,18.5
1988-Q4,15-24,17.7
1989-Q1,15-24,17
1989-Q2,15-24,16.7
1989-Q3,15-24,16.4
1989-Q4,15-24,16.7
1990-Q1,15-24,16.9
1990-Q2,15-24,16.8
1990-Q3,15-24,16.7
1990-Q4,15-24,16.9
1991-Q1,15-24,17
1991-Q2,15-24,17.4
1991-Q3,15-24,17.7
1991-Q4,15-24,17.8
1992-Q1,15-24,18.3
1992-Q2,15-24,18.5
1992-Q3,15-24,19.3
1992-Q4,15-24,20.1
1993-Q1,15-24,20.8
1993-Q2,15-24,21.7
1993-Q3,15-24,22.5
1993-Q4,15-24,23
1994-Q1,15-24,23.6
1994-Q2,15-24,24
1994-Q3,15-24,23.7
1994-Q4,15-24,23.2
1995-Q1,15-24,22.6
1995-Q2,15-24,21.7
1995-Q3,15-24,21
1995-Q4,15-24,21.6
1996-Q1,15-24,22.1
1996-Q2,15-24,22.9
1996-Q3,15-24,23.4
1996-Q4,15-24,23.8
1997-Q1,15-24,24
1997-Q2,15-24,23.8
1997-Q3,15-24,23.4
1997-Q4,15-24,22.9
1998-Q1,15-24,22.1
