period,series,value
1996,CHN,0.56014
1997,CHN,0.63467
1998,CHN,0.64185
1999,CHN,0.74295
2000,CHN,0.88409
2001,CHN,0.92948
2002,CHN,1.04418
2003,CHN,1.10465
2004,CHN,1.19732
2005,CHN,1.29008
2006,CHN,1.34923
2007,CHN,1.35321
2008,CHN,1.4233
2009,CHN,1.6366
2010,CHN,1.68456
2011,CHN,1.75244
2012,CHN,1.88095
2013,CHN,1.96246
2014,CHN,1.98475
2015,CHN,2.01703
2016,CHN,2.0595
2017,CHN,2.07771
2018,CHN,2.10232
2019,CHN,2.20144
2020,CHN,2.35712
2021,CHN,2.38165
2022,CHN,2.4945
2023,CHN,2.57729
1996,DEU,2.13663
1997,DEU,2.18161
1998,DEU,2.20748
1999,DEU,2.32772
2000,DEU,2.38654
2001,DEU,2.3792
2002,DEU,2.40856
2003,DEU,2.44232
2004,DEU,2.40278
2005,DEU,2.40266
2006,DEU,2.43043
2007,DEU,2.41918
2008,DEU,2.57152
2009,DEU,2.68864
2010,DEU,2.67632
2011,DEU,2.75016
2012,DEU,2.82499
2013,DEU,2.78067
2014,DEU,2.82218
2015,DEU,2.87725
2016,DEU,2.88393
2017,DEU,2.9886
2018,DEU,3.05057
2019,DEU,3.11256
2020,DEU,3.0897
2021,DEU,3.0786
2022,DEU,3.07096
2023,DEU,3.1539
1996,ESP,0.78795
1997,ESP,0.77825
1998,ESP,0.8487
1999,ESP,0.83921
2000,ESP,0.88315
2001,ESP,0.88838
2002,ESP,0.95947
2003,ESP,1.0232
2004,ESP,1.04013
2005,ESP,1.09866
2006,ESP,1.17567
2007,ESP,1.23823
2008,ESP,1.32156
2009,ESP,1.35898
2010,ESP,1.35436
2011,ESP,1.32726
2012,ESP,1.29268
2013,ESP,1.26864
2014,ESP,1.23401
2015,ESP,1.21165
2016,ESP,1.1808
2017,ESP,1.20198
2018,ESP,1.23288
2019,ESP,1.24207
2020,ESP,1.39637
2021,ESP,1.39617
2022,ESP,1.40684
2023,ESP,1.49362
1996,FRA,2.23224
1997,FRA,2.15216
1998,FRA,2.10343
1999,FRA,2.1165
2000,FRA,2.10066
2001,FRA,2.1494
2002,FRA,2.18758
2003,FRA,2.13086
2004,FRA,2.10438
2005,FRA,2.05599
2006,FRA,2.05331
2007,FRA,2.02815
2008,FRA,2.06363
2009,FRA,2.21273
2010,FRA,2.17771
2011,FRA,2.18761
2012,FRA,2.22761
2013,FRA,2.23369
2014,FRA,2.27173
2015,FRA,2.22401
2016,FRA,2.22468
2017,FRA,2.20422
2018,FRA,2.20407
2019,FRA,2.19668
2020,FRA,2.2742
2021,FRA,2.21278
2022,FRA,2.21937
2023,FRA,2.17832
1996,GBR,1.5754
1997,GBR,1.53729
1998,GBR,1.54777
1999,GBR,1.62268
2000,GBR,1.60963
2001,GBR,1.59544
2002,GBR,1.61383
2003,GBR,1.58131
2004,GBR,1.53089
2005,GBR,1.55004
2006,GBR,1.57625
2007,GBR,1.6183
2008,GBR,1.60901
2009,GBR,1.66991
2010,GBR,1.63887
2011,GBR,1.64681
2012,GBR,1.57587
2013,GBR,1.62096
2014,GBR,2.26488
2015,GBR,2.27566
2016,GBR,2.32051
2017,GBR,2.32602
2018,GBR,2.70889
2019,GBR,2.6707
2020,GBR,2.93993
2021,GBR,2.89968
2022,GBR,2.75224
2023,GBR,2.67614
1996,ITA,0.94421
1997,ITA,0.98522
1998,ITA,1.00275
1999,ITA,0.97865
2000,ITA,1.00104
2001,ITA,1.03714
2002,ITA,1.07704
2003,ITA,1.05539
2004,ITA,1.04662
2005,ITA,1.04057
2006,ITA,1.07903
2007,ITA,1.12421
2008,ITA,1.15548
2009,ITA,1.21261
2010,ITA,1.21296
2011,ITA,1.19531
2012,ITA,1.25559
2013,ITA,1.29425
2014,ITA,1.33148
2015,ITA,1.33213
2016,ITA,1.35915
2017,ITA,1.36393
2018,ITA,1.41934
2019,ITA,1.45558
2020,ITA,1.49869
2021,ITA,1.41065
2022,ITA,1.36563
2023,ITA,1.37935
1996,KOR,2.14233
1997,KOR,2.17409
1998,KOR,2.03608
1999,KOR,1.9446
2000,KOR,2.0494
2001,KOR,2.19872
2002,KOR,2.13042
2003,KOR,2.19657
2004,KOR,2.35292
2005,KOR,2.42725
2006,KOR,2.61516
2007,KOR,2.75895
2008,KOR,2.86774
2009,KOR,3.02145
2010,KOR,3.17913
2011,KOR,3.44409
2012,KOR,3.6852
2013,KOR,3.77487
2014,KOR,3.88983
2015,KOR,3.78907
2016,KOR,3.78638
2017,KOR,4.07341
2018,KOR,4.27155
2019,KOR,4.36379
2020,KOR,4.5214
2021,KOR,4.59673
2022,KOR,4.84753
2023,KOR,4.94352
1996,USA,2.45013
1997,USA,2.47714
1998,USA,2.49621
1999,USA,2.54362
2000,USA,2.61982
2001,USA,2.63715
2002,USA,2.54746
2003,USA,2.55014
2004,USA,2.48685
2005,USA,2.50192
2006,USA,2.54545
2007,USA,2.61516
2008,USA,2.74481
2009,USA,2.7918
2010,USA,2.71443
2011,USA,2.73803
2012,USA,2.67272
2013,USA,2.69591
2014,USA,2.70882
2015,USA,2.77328
2016,USA,2.83677
2017,USA,2.88315
2018,USA,2.98956
2019,USA,3.14297
2020,USA,3.41788
2021,USA,3.4689
2022,USA,3.48736
2023,USA,3.44716
