period,series,value
2003-Q1,halo,1521
2003-Q2,halo,1455
2003-Q3,halo,1554
2003-Q4,halo,1560
2004-Q1,halo,1585
2004-Q2,halo,1594
2004-Q3,halo,1603
2004-Q4,halo,1572
2005-Q1,halo,1545
2005-Q2,halo,1546
2005-Q3,halo,1510
2005-Q4,halo,1523
2006-Q1,halo,1553
2006-Q2,halo,1553
2006-Q3,halo,1532
2006-Q4,halo,1616
2007-Q1,halo,1525
2007-Q2,halo,1551
2007-Q3,halo,1467
2007-Q4,halo,1478
2008-Q1,halo,1508
2008-Q2,halo,1461
2008-Q3,halo,1507
2008-Q4,halo,1486
2009-Q1,halo,1530
2009-Q2,halo,1564
2009-Q3,halo,1596
2009-Q4,halo,1639
2010-Q1,halo,1597
2010-Q2,halo,1637
2010-Q3,halo,1610
2010-Q4,halo,1573
2011-Q1,halo,1620
2011-Q2,halo,1621
2011-Q3,halo,1611
2011-Q4,halo,1619
2012-Q1,halo,1608
2012-Q2,halo,1572
2012-Q3,halo,1627
2012-Q4,halo,1629
2013-Q1,halo,1616
2013-Q2,halo,1660
2013-Q3,halo,1723
2013-Q4,halo,1732
2014-Q1,halo,1768
2014-Q2,halo,1725
2014-Q3,halo,1824
2014-Q4,halo,1814
2015-Q1,halo,1889
2015-Q2,halo,1846
2015-Q3,halo,1827
2015-Q4,halo,1813
2016-Q1,halo,1856
2016-Q2,halo,1911
2016-Q3,halo,1915
2016-Q4,halo,1891
2017-Q1,halo,1927
2017-Q2,halo,1901
2017-Q3,halo,1855
2017-Q4,halo,1908
2018-Q1,halo,1916
2018-Q2,halo,1895
2018-Q3,halo,1924
2018-Q4,halo,1921
2019-Q1,halo,1819
2019-Q2,halo,1886
2019-Q3,halo,1979
2019-Q4,halo,2033
2020-Q1,halo,2064
2020-Q2,halo,2899
2020-Q3,halo,2057
2020-Q4,halo,2103
2021-Q1,halo,2086
2021-Q2,halo,2065
2021-Q3,halo,1908
2021-Q4,halo,1958
2022-Q1,halo,1896
2022-Q2,halo,1906
2022-Q3,halo,1885
2022-Q4,halo,1944
2023-Q1,halo,2031
2023-Q2,halo,2000
2023-Q3,halo,2054
2023-Q4,halo,1922
2024-Q1,halo,1942
2024-Q2,halo,1972
2024-Q3,halo,1861
2024-Q4,halo,1998
2025-Q1,halo,1912
2025-Q2,halo,1930
2025-Q3,halo,1933
2025-Q4,halo,1928
2026-Q1,halo,1859
2026-Q2,halo,1865
