period,series,value
1995,DEU,22.3
1996,DEU,21.8
1997,DEU,22
1998,DEU,22.2
1999,DEU,21.9
2000,DEU,22.6
2001,DEU,22.3
2002,DEU,21.6
2003,DEU,21.7
2004,DEU,21.9
2005,DEU,21.9
2006,DEU,22.6
2007,DEU,22.9
2008,DEU,22.1
2009,DEU,19.4
2010,DEU,21.7
2011,DEU,22.5
2012,DEU,22.4
2013,DEU,22.1
2014,DEU,22.5
2015,DEU,22.5
2016,DEU,22.8
2017,DEU,22.4
2018,DEU,22
2019,DEU,21.5
2020,DEU,20.5
2021,DEU,20.6
2022,DEU,20.3
2023,DEU,20.4
2024,DEU,19.9
2025,DEU,19.4
1995,ESP,17.6
1996,ESP,17.7
1997,ESP,18.1
1998,ESP,18.2
1999,ESP,18
2000,ESP,17.9
2001,ESP,17.4
2002,ESP,16.7
2003,ESP,16.1
2004,ESP,15.5
2005,ESP,15
2006,ESP,14.6
2007,ESP,14
2008,ESP,13.4
2009,ESP,12.1
2010,ESP,12.1
2011,ESP,12.2
2012,ESP,11.8
2013,ESP,11.9
2014,ESP,12.1
2015,ESP,12.1
2016,ESP,12.1
2017,ESP,12.3
2018,ESP,11.9
2019,ESP,11.8
2020,ESP,11.9
2021,ESP,12.4
2022,ESP,12.1
2023,ESP,12
2024,ESP,11.9
2025,ESP,11.7
1995,EU27,19.9
1996,EU27,19.5
1997,EU27,19.6
1998,EU27,19.7
1999,EU27,19.3
2000,EU27,19.4
2001,EU27,19
2002,EU27,18.5
2003,EU27,18
2004,EU27,17.9
2005,EU27,17.6
2006,EU27,17.6
2007,EU27,17.6
2008,EU27,16.9
2009,EU27,15.3
2010,EU27,16.1
2011,EU27,16.5
2012,EU27,16.2
2013,EU27,16.1
2014,EU27,16.4
2015,EU27,17
2016,EU27,17.1
2017,EU27,17
2018,EU27,16.9
2019,EU27,16.7
2020,EU27,16.2
2021,EU27,16.5
2022,EU27,16.6
2023,EU27,16.4
2024,EU27,16.1
2025,EU27,15.8
1995,FRA,16.4
1996,FRA,16
1997,FRA,16.3
1998,FRA,16.3
1999,FRA,16.1
2000,FRA,16.1
2001,FRA,15.5
2002,FRA,15
2003,FRA,14.5
2004,FRA,14
2005,FRA,13.5
2006,FRA,13
2007,FRA,12.9
2008,FRA,12.3
2009,FRA,11.7
2010,FRA,11.4
2011,FRA,11.5
2012,FRA,11.5
2013,FRA,11.5
2014,FRA,11.4
2015,FRA,11.6
2016,FRA,11.4
2017,FRA,11.3
2018,FRA,11.2
2019,FRA,11.2
2020,FRA,10.4
2021,FRA,10.3
2022,FRA,10.4
2023,FRA,11.3
2024,FRA,11.4
2025,FRA,11.2
1995,ITA,21.2
1996,ITA,20.8
1997,ITA,20.7
1998,ITA,20.7
1999,ITA,20.1
2000,ITA,19.7
2001,ITA,19.1
2002,ITA,18.7
2003,ITA,17.9
2004,ITA,17.6
2005,ITA,17.3
2006,ITA,17.4
2007,ITA,17.8
2008,ITA,17.2
2009,ITA,15.2
2010,ITA,15.8
2011,ITA,15.8
2012,ITA,15.4
2013,ITA,15.4
2014,ITA,15.6
2015,ITA,16
2016,ITA,16.5
2017,ITA,16.7
2018,ITA,16.8
2019,ITA,16.6
2020,ITA,16.2
2021,ITA,17.2
2022,ITA,17.1
2023,ITA,17.2
2024,ITA,16.9
2025,ITA,16.8
