period,series,value
1990,CHN,1.5250864
1991,CHN,1.6451836
1992,CHN,1.8713093
1993,CHN,2.1127315
1994,CHN,2.3124347
1995,CHN,2.5046108
1996,CHN,2.7279365
1997,CHN,2.8579865
1998,CHN,3.0277374
1999,CHN,3.2503235
2000,CHN,3.5005732
2001,CHN,3.759835
2002,CHN,4.0382023
2003,CHN,4.391763
2004,CHN,4.851698
2005,CHN,5.267778
2006,CHN,5.6809525
2007,CHN,6.485825
2008,CHN,7.0976367
2009,CHN,7.616226
2010,CHN,8.044041
2011,CHN,8.914549
2012,CHN,9.499309
2013,CHN,9.730016
2014,CHN,10.327312
2015,CHN,10.865309
2016,CHN,11.403435
2017,CHN,12.222228
2018,CHN,13.1396885
2019,CHN,14.174832
2020,CHN,15.131998
2021,CHN,16.498594
2022,CHN,16.89764
2023,CHN,17.692911
1990,DEU,39.499382
1991,DEU,43.37597
1992,DEU,45.187477
1993,DEU,47.030697
1994,DEU,49.049942
1995,DEU,50.687958
1996,DEU,51.823856
1997,DEU,53.603516
1998,DEU,54.964676
1999,DEU,57.002277
2000,DEU,58.083973
2001,DEU,59.583893
2002,DEU,60.345882
2003,DEU,62.53588
2004,DEU,63.894978
2005,DEU,67.481415
2006,DEU,67.91674
2007,DEU,70.65134
2008,DEU,71.66557
2009,DEU,68.88706
2010,DEU,70.99874
2011,DEU,74.035706
2012,DEU,73.76013
2013,DEU,73.892365
2014,DEU,75.67106
2015,DEU,74.099724
2016,DEU,76.02909
2017,DEU,78.19524
2018,DEU,78.59967
2019,DEU,81.118675
2020,DEU,82.04048
2021,DEU,82.90917
2022,DEU,82.74721
2023,DEU,82.501175
1990,ESP,33.42688
1991,ESP,34.493755
1992,ESP,36.15699
1993,ESP,38.04142
1994,ESP,39.975754
1995,ESP,41.363132
1996,ESP,42.10302
1997,ESP,43.426033
1998,ESP,44.1164
1999,ESP,43.85755
2000,ESP,44.811985
2001,ESP,44.947136
2002,ESP,45.945953
2003,ESP,44.63244
2004,ESP,44.7477
2005,ESP,46.64838
2006,ESP,48.49922
2007,ESP,51.199627
2008,ESP,51.883926
2009,ESP,54.0441
2010,ESP,54.77375
2011,ESP,55.09166
2012,ESP,57.414482
2013,ESP,57.504654
2014,ESP,57.19161
2015,ESP,58.978977
2016,ESP,59.979256
2017,ESP,61.159767
2018,ESP,59.54519
2019,ESP,62.680885
2020,ESP,61.291573
2021,ESP,61.418144
2022,ESP,62.984673
2023,ESP,63.997158
1990,FRA,45.47389
1991,FRA,45.883667
1992,FRA,47.14731
1993,FRA,47.99465
1994,FRA,48.85685
1995,FRA,50.27979
1996,FRA,51.13975
1997,FRA,53.63146
1998,FRA,55.73289
1999,FRA,56.734753
2000,FRA,59.59324
2001,FRA,61.51625
2002,FRA,63.588486
2003,FRA,60.832603
2004,FRA,61.278027
2005,FRA,63.988853
2006,FRA,65.12917
2007,FRA,66.86444
2008,FRA,67.040504
2009,FRA,66.91059
2010,FRA,68.51237
2011,FRA,70.49767
2012,FRA,71.08738
2013,FRA,70.648125
2014,FRA,71.26861
2015,FRA,72.26746
2016,FRA,72.82366
2017,FRA,74.38966
2018,FRA,74.25583
2019,FRA,80.23372
2020,FRA,81.77437
2021,FRA,78.91601
2022,FRA,77.588234
2023,FRA,77.668205
1990,GBR,39.927418
1991,GBR,40.96872
1992,GBR,42.58305
1993,GBR,44.848793
1994,GBR,45.90097
1995,GBR,50.397476
1996,GBR,52.780224
1997,GBR,55.18963
1998,GBR,56.392914
1999,GBR,58.364075
2000,GBR,62.019405
2001,GBR,63.436264
2002,GBR,63.061485
2003,GBR,62.760895
2004,GBR,63.706306
2005,GBR,66.20453
2006,GBR,66.2685
2007,GBR,65.108116
2008,GBR,65.44837
2009,GBR,63.142673
2010,GBR,62.195778
2011,GBR,62.844765
2012,GBR,63.155174
2013,GBR,63.77222
2014,GBR,62.419716
2015,GBR,63.72775
2016,GBR,63.4797
2017,GBR,65.88062
2018,GBR,64.60273
2019,GBR,66.17737
2020,GBR,70.25431
2021,GBR,68.41783
2022,GBR,68.378075
2023,GBR,68.0298
1990,ITA,41.605755
1991,ITA,42.3235
1992,ITA,43.560154
1993,ITA,44.59149
1994,ITA,46.7413
1995,ITA,48.957157
1996,ITA,49.492958
1997,ITA,51.241856
1998,ITA,52.790176
1999,ITA,53.541145
2000,ITA,54.765713
2001,ITA,55.51546
2002,ITA,53.204258
2003,ITA,52.36671
2004,ITA,52.286514
2005,ITA,53.438343
2006,ITA,54.01589
2007,ITA,56.36849
2008,ITA,57.795113
2009,ITA,57.79575
2010,ITA,58.415897
2011,ITA,60.869076
2012,ITA,60.95377
2013,ITA,60.57737
2014,ITA,60.517704
2015,ITA,60.275845
2016,ITA,62.454334
2017,ITA,63.58544
2018,ITA,62.97492
2019,ITA,65.8622
2020,ITA,68.21557
2021,ITA,68.10817
2022,ITA,68.23803
2023,ITA,67.24595
1990,JPN,31.656733
1991,JPN,33.826954
1992,JPN,35.487663
1993,JPN,37.547256
1994,JPN,38.223274
1995,JPN,40.2015
1996,JPN,42.296825
1997,JPN,42.642437
1998,JPN,42.90856
1999,JPN,43.710182
2000,JPN,45.020416
2001,JPN,45.43232
2002,JPN,46.569473
2003,JPN,47.31541
2004,JPN,48.13347
2005,JPN,49.435562
2006,JPN,49.527164
2007,JPN,50.43969
2008,JPN,50.23082
2009,JPN,49.356903
2010,JPN,51.380127
2011,JPN,51.01339
2012,JPN,50.722515
2013,JPN,50.891685
2014,JPN,49.72513
2015,JPN,51.098133
2016,JPN,50.0244
2017,JPN,49.2588
2018,JPN,48.393433
2019,JPN,48.807823
2020,JPN,48.21869
2021,JPN,48.555424
2022,JPN,48.202896
2023,JPN,49.000053
1990,KOR,13.92536
1991,KOR,15.485522
1992,KOR,16.59954
1993,KOR,17.89704
1994,KOR,19.64667
1995,KOR,21.396973
1996,KOR,23.488106
1997,KOR,23.126568
1998,KOR,22.512466
1999,KOR,24.495907
2000,KOR,25.21157
2001,KOR,25.654871
2002,KOR,27.43286
2003,KOR,29.00908
2004,KOR,30.6891
2005,KOR,33.5136
2006,KOR,34.289143
2007,KOR,36.378704
2008,KOR,37.66689
2009,KOR,37.403465
2010,KOR,39.90182
2011,KOR,39.71319
2012,KOR,39.59322
2013,KOR,38.416
2014,KOR,40.029747
2015,KOR,41.849457
2016,KOR,43.27548
2017,KOR,45.420845
2018,KOR,47.57825
2019,KOR,49.544704
2020,KOR,51.984924
2021,KOR,53.581005
2022,KOR,54.241924
2023,KOR,53.608574
1990,USA,48.246418
1991,USA,48.753185
1992,USA,50.641438
1993,USA,51.0151
1994,USA,51.541924
1995,USA,52.000492
1996,USA,53.23023
1997,USA,54.376328
1998,USA,55.81051
1999,USA,57.530106
2000,USA,59.149975
2001,USA,60.27278
2002,USA,61.876675
2003,USA,63.79642
2004,USA,65.511055
2005,USA,66.79082
2006,USA,67.335144
2007,USA,68.14117
2008,USA,68.95971
2009,USA,71.02365
2010,USA,72.9431
2011,USA,72.994804
2012,USA,73.444336
2013,USA,74.135895
2014,USA,74.58594
2015,USA,74.986916
2016,USA,75.29495
2017,USA,76.11291
2018,USA,76.83071
2019,USA,77.74209
2020,USA,81.08247
2021,USA,82.3028
2022,USA,81.94824
2023,USA,83.531105
