period,series,value
2009,DEU-15-64,69.4
2010,DEU-15-64,70.3
2011,DEU-15-64,71.8
2012,DEU-15-64,72.1
2013,DEU-15-64,72.6
2014,DEU-15-64,72.9
2015,DEU-15-64,73.1
2016,DEU-15-64,73.8
2017,DEU-15-64,74.4
2018,DEU-15-64,75.1
2019,DEU-15-64,75.8
2020,DEU-15-64,74.6
2021,DEU-15-64,75.8
2022,DEU-15-64,77
2023,DEU-15-64,77.3
2024,DEU-15-64,77.2
2025,DEU-15-64,77.2
2009,DEU-55-64,55.3
2010,DEU-55-64,57
2011,DEU-55-64,59.2
2012,DEU-55-64,60.7
2013,DEU-55-64,62.7
2014,DEU-55-64,64.6
2015,DEU-55-64,65.2
2016,DEU-55-64,67.6
2017,DEU-55-64,69.2
2018,DEU-55-64,70.5
2019,DEU-55-64,71.7
2020,DEU-55-64,70.7
2021,DEU-55-64,71.9
2022,DEU-55-64,73.3
2023,DEU-55-64,74.5
2024,DEU-55-64,75
2025,DEU-55-64,75.3
2009,ESP-15-64,60
2010,ESP-15-64,58.8
2011,ESP-15-64,58
2012,ESP-15-64,55.8
2013,ESP-15-64,54.8
2014,ESP-15-64,56
2015,ESP-15-64,57.8
2016,ESP-15-64,59.5
2017,ESP-15-64,61.1
2018,ESP-15-64,62.4
2019,ESP-15-64,63.3
2020,ESP-15-64,60.9
2021,ESP-15-64,62.6
2022,ESP-15-64,64.3
2023,ESP-15-64,65.3
2024,ESP-15-64,66.1
2025,ESP-15-64,67
2009,ESP-55-64,44
2010,ESP-55-64,43.5
2011,ESP-55-64,44.5
2012,ESP-55-64,43.9
2013,ESP-55-64,43.2
2014,ESP-55-64,44.3
2015,ESP-55-64,46.9
2016,ESP-55-64,49.1
2017,ESP-55-64,50.5
2018,ESP-55-64,52.2
2019,ESP-55-64,53.8
2020,ESP-55-64,54.7
2021,ESP-55-64,55.8
2022,ESP-55-64,57.7
2023,ESP-55-64,59.5
2024,ESP-55-64,61.1
2025,ESP-55-64,62.4
2009,EU27-15-64,62.8
2010,EU27-15-64,62.6
2011,EU27-15-64,62.8
2012,EU27-15-64,62.5
2013,EU27-15-64,62.5
2014,EU27-15-64,63.2
2015,EU27-15-64,64.1
2016,EU27-15-64,65.2
2017,EU27-15-64,66.4
2018,EU27-15-64,67.3
2019,EU27-15-64,68.1
2020,EU27-15-64,67.1
2021,EU27-15-64,68.3
2022,EU27-15-64,69.8
2023,EU27-15-64,70.4
2024,EU27-15-64,70.7
2025,EU27-15-64,71
2009,EU27-55-64,43.2
2010,EU27-55-64,43.7
2011,EU27-55-64,45
2012,EU27-55-64,46.4
2013,EU27-55-64,47.9
2014,EU27-55-64,49.7
2015,EU27-55-64,51.4
2016,EU27-55-64,53.5
2017,EU27-55-64,55.5
2018,EU27-55-64,57.3
2019,EU27-55-64,58.6
2020,EU27-55-64,59
2021,EU27-55-64,60.4
2022,EU27-55-64,62.3
2023,EU27-55-64,63.9
2024,EU27-55-64,65.2
2025,EU27-55-64,66.4
2003,FRA-15-64,64.3
2004,FRA-15-64,64.2
2005,FRA-15-64,64.1
2006,FRA-15-64,64.1
2007,FRA-15-64,64.7
2008,FRA-15-64,65.2
2009,FRA-15-64,64.4
2010,FRA-15-64,64.3
2011,FRA-15-64,64.2
2012,FRA-15-64,64.3
2013,FRA-15-64,64.3
2014,FRA-15-64,64.4
2015,FRA-15-64,64.6
2016,FRA-15-64,64.9
2017,FRA-15-64,65.5
2018,FRA-15-64,66
2019,FRA-15-64,66.2
2020,FRA-15-64,66
2021,FRA-15-64,67.2
2022,FRA-15-64,68.1
2023,FRA-15-64,68.4
2024,FRA-15-64,68.8
2025,FRA-15-64,69.3
2003,FRA-55-64,38.2
2004,FRA-55-64,39.1
2005,FRA-55-64,39.8
2006,FRA-55-64,39.4
2007,FRA-55-64,39.5
2008,FRA-55-64,39.5
2009,FRA-55-64,40.2
2010,FRA-55-64,41
2011,FRA-55-64,42.7
2012,FRA-55-64,45.8
2013,FRA-55-64,46.9
2014,FRA-55-64,48.2
2015,FRA-55-64,50.1
2016,FRA-55-64,51.2
2017,FRA-55-64,52.6
2018,FRA-55-64,53.6
2019,FRA-55-64,54.5
2020,FRA-55-64,55.2
2021,FRA-55-64,56
2022,FRA-55-64,56.9
2023,FRA-55-64,58.5
2024,FRA-55-64,60.3
2025,FRA-55-64,61.7
2009,ITA-15-64,56.9
2010,ITA-15-64,56.3
2011,ITA-15-64,56.3
2012,ITA-15-64,56.1
2013,ITA-15-64,55
2014,ITA-15-64,55.3
2015,ITA-15-64,56
2016,ITA-15-64,57.1
2017,ITA-15-64,57.9
2018,ITA-15-64,58.5
2019,ITA-15-64,59
2020,ITA-15-64,57.5
2021,ITA-15-64,58.2
2022,ITA-15-64,60.1
2023,ITA-15-64,61.5
2024,ITA-15-64,62.2
2025,ITA-15-64,62.5
2009,ITA-55-64,35.3
2010,ITA-55-64,36.2
2011,ITA-55-64,37.5
2012,ITA-55-64,39.9
2013,ITA-55-64,42.2
2014,ITA-55-64,45.9
2015,ITA-55-64,47.8
2016,ITA-55-64,49.9
2017,ITA-55-64,51.9
2018,ITA-55-64,53.6
2019,ITA-55-64,54.2
2020,ITA-55-64,53.4
2021,ITA-55-64,53.4
2022,ITA-55-64,55
2023,ITA-55-64,57.3
2024,ITA-55-64,59
2025,ITA-55-64,61.2
