period,series,value
2010,DEU-cambriolage,485.73
2011,DEU-cambriolage,525.1
2012,DEU-cambriolage,535.57
2013,DEU-cambriolage,543.34
2014,DEU-cambriolage,552.29
2015,DEU-cambriolage,571.36
2016,DEU-cambriolage,526.59
2017,DEU-cambriolage,442.53
2018,DEU-cambriolage,394.25
2019,DEU-cambriolage,374.89
2020,DEU-cambriolage,358.75
2021,DEU-cambriolage,292.43
2022,DEU-cambriolage,313.09
2023,DEU-cambriolage,357.84
2024,DEU-cambriolage,357.06
2010,DEU-coups,174.69
2011,DEU-coups,173.38
2012,DEU-coups,169.4
2013,DEU-coups,158.8
2014,DEU-coups,155.7
2015,DEU-coups,156.9
2016,DEU-coups,170.41
2017,DEU-coups,166.09
2018,DEU-coups,165.14
2019,DEU-coups,160.31
2020,DEU-coups,156.86
2021,DEU-coups,147.12
2022,DEU-coups,173.8
2023,DEU-coups,185.93
2024,DEU-coups,189.53
2010,DEU-homicide,0.85
2011,DEU-homicide,0.86
2012,DEU-homicide,0.77
2013,DEU-homicide,0.77
2014,DEU-homicide,0.8
2015,DEU-homicide,0.81
2016,DEU-homicide,0.91
2017,DEU-homicide,0.89
2018,DEU-homicide,0.76
2019,DEU-homicide,0.71
2020,DEU-homicide,0.86
2021,DEU-homicide,0.76
2022,DEU-homicide,0.74
2023,DEU-homicide,0.8
2024,DEU-homicide,0.83
2010,DEU-sexuel,44.7
2011,DEU-sexuel,45.32
2012,DEU-sexuel,45.16
2013,DEU-sexuel,43.88
2014,DEU-sexuel,43.28
2015,DEU-sexuel,42.2
2016,DEU-sexuel,45.23
2017,DEU-sexuel,42.19
2018,DEU-sexuel,49.02
2019,DEU-sexuel,49.05
2020,DEU-sexuel,49.39
2021,DEU-sexuel,50.26
2022,DEU-sexuel,59.7
2023,DEU-sexuel,63.35
2024,DEU-sexuel,65.14
2010,DEU-stupefiants,282.39
2011,DEU-stupefiants,294.77
2012,DEU-stupefiants,295.22
2013,DEU-stupefiants,314.85
2014,DEU-stupefiants,342.63
2015,DEU-stupefiants,348.05
2016,DEU-stupefiants,368.23
2017,DEU-stupefiants,400.6
2018,DEU-stupefiants,423.54
2019,DEU-stupefiants,433.33
2020,DEU-stupefiants,439.78
2021,DEU-stupefiants,434.19
2022,DEU-stupefiants,409.28
2023,DEU-stupefiants,417.33
2024,DEU-stupefiants,273.32
2010,DEU-vol,1491.38
2011,DEU-vol,1590.67
2012,DEU-vol,1578
2013,DEU-vol,1600.86
2014,DEU-vol,1636.98
2015,DEU-vol,1661.33
2016,DEU-vol,1570.39
2017,DEU-vol,1401.36
2018,DEU-vol,1307.46
2019,DEU-vol,1235.04
2020,DEU-vol,1120.39
2021,DEU-vol,1004.59
2022,DEU-vol,1254.11
2023,DEU-vol,1410.44
2024,DEU-vol,1376.67
2010,DEU-vol-violent,58.88
2011,DEU-vol-violent,59.86
2012,DEU-vol-violent,60.64
2013,DEU-vol-violent,58.66
2014,DEU-vol-violent,56.3
2015,DEU-vol-violent,55.01
2016,DEU-vol-violent,52.34
2017,DEU-vol-violent,47.08
2018,DEU-vol-violent,44.4
2019,DEU-vol-violent,43.43
2020,DEU-vol-violent,40.73
2021,DEU-vol-violent,36.23
2022,DEU-vol-violent,45.89
2023,DEU-vol-violent,53.97
2024,DEU-vol-violent,51.76
2010,ESP-cambriolage,399.36
2011,ESP-cambriolage,345.41
2012,ESP-cambriolage,396.65
2013,ESP-cambriolage,397.85
2014,ESP-cambriolage,370.8
2015,ESP-cambriolage,342.87
2016,ESP-cambriolage,336.79
2017,ESP-cambriolage,307.07
2018,ESP-cambriolage,301.17
2019,ESP-cambriolage,280.43
2020,ESP-cambriolage,282.48
2021,ESP-cambriolage,269.15
2022,ESP-cambriolage,313.52
2023,ESP-cambriolage,314.72
2024,ESP-cambriolage,293.27
2010,ESP-coups,53.94
2011,ESP-coups,39.19
2012,ESP-coups,37.06
2013,ESP-coups,35.74
2014,ESP-coups,36.07
2015,ESP-coups,62.55
2016,ESP-coups,37.32
2017,ESP-coups,38.87
2018,ESP-coups,39.2
2019,ESP-coups,42.73
2020,ESP-coups,32.9
2021,ESP-coups,41.65
2022,ESP-coups,54.6
2023,ESP-coups,55.07
2024,ESP-coups,59.08
2010,ESP-homicide,0.86
2011,ESP-homicide,0.82
2012,ESP-homicide,0.78
2013,ESP-homicide,0.65
2014,ESP-homicide,0.69
2015,ESP-homicide,0.65
2016,ESP-homicide,0.63
2017,ESP-homicide,0.66
2018,ESP-homicide,0.62
2019,ESP-homicide,0.71
2020,ESP-homicide,0.63
2021,ESP-homicide,0.61
2022,ESP-homicide,0.69
2023,ESP-homicide,0.69
2024,ESP-homicide,0.72
2010,ESP-sexuel,21.41
2011,ESP-sexuel,21.2
2012,ESP-sexuel,19.24
2013,ESP-sexuel,19.1
2014,ESP-sexuel,20.36
2015,ESP-sexuel,16.14
2016,ESP-sexuel,18.79
2017,ESP-sexuel,20.34
2018,ESP-sexuel,24.89
2019,ESP-sexuel,27.76
2020,ESP-sexuel,23.48
2021,ESP-sexuel,30.35
2022,ESP-sexuel,34.31
2023,ESP-sexuel,38.22
2024,ESP-sexuel,40.43
2010,ESP-stupefiants,30.96
2011,ESP-stupefiants,32.61
2012,ESP-stupefiants,30.99
2013,ESP-stupefiants,30.59
2014,ESP-stupefiants,28.83
2015,ESP-stupefiants,25.98
2016,ESP-stupefiants,26.8
2017,ESP-stupefiants,27.85
2018,ESP-stupefiants,30.29
2019,ESP-stupefiants,35.42
2020,ESP-stupefiants,36.15
2021,ESP-stupefiants,38.64
2022,ESP-stupefiants,40.18
2023,ESP-stupefiants,43.74
2024,ESP-stupefiants,44.3
2010,ESP-vol,425.31
2011,ESP-vol,434.53
2012,ESP-vol,445.23
2013,ESP-vol,430.43
2014,ESP-vol,404.61
2015,ESP-vol,520.87
2016,ESP-vol,435.36
2017,ESP-vol,429.07
2018,ESP-vol,425.31
2019,ESP-vol,436.44
2020,ESP-vol,263.04
2021,ESP-vol,305.05
2022,ESP-vol,433.24
2023,ESP-vol,462.37
2024,ESP-vol,450.87
2010,ESP-vol-violent,181.58
2011,ESP-vol-violent,187.97
2012,ESP-vol-violent,206.34
2013,ESP-vol-violent,184.12
2014,ESP-vol-violent,152.34
2015,ESP-vol-violent,139.03
2016,ESP-vol-violent,135.56
2017,ESP-vol-violent,132.74
2018,ESP-vol-violent,129.23
2019,ESP-vol-violent,140.35
2020,ESP-vol-violent,95.63
2021,ESP-vol-violent,111.97
2022,ESP-vol-violent,133.65
2023,ESP-vol-violent,134.58
2024,ESP-vol-violent,129.53
2010,FRA-cambriolage,506.24
2011,FRA-cambriolage,531.71
2012,FRA-cambriolage,558.33
2013,FRA-cambriolage,587.67
2014,FRA-cambriolage,574.98
2015,FRA-cambriolage,570.41
2016,FRA-cambriolage,549.95
2017,FRA-cambriolage,547.42
2018,FRA-cambriolage,506.27
2019,FRA-cambriolage,497.96
2020,FRA-cambriolage,415.09
2021,FRA-cambriolage,398.23
2022,FRA-cambriolage,436.44
2023,FRA-cambriolage,454.44
2024,FRA-cambriolage,443.98
2010,FRA-coups,358.67
2011,FRA-coups,355.97
2012,FRA-coups,355
2013,FRA-coups,355.64
2014,FRA-coups,360.8
2015,FRA-coups,364.25
2016,FRA-coups,400.54
2017,FRA-coups,417.32
2018,FRA-coups,450.77
2019,FRA-coups,480.41
2020,FRA-coups,471.11
2021,FRA-coups,523.08
2022,FRA-coups,577.31
2023,FRA-coups,611.41
2024,FRA-coups,613.21
2010,FRA-homicide,1.23
2011,FRA-homicide,1.35
2012,FRA-homicide,1.25
2013,FRA-homicide,1.22
2014,FRA-homicide,1.16
2015,FRA-homicide,1.32
2016,FRA-homicide,1.17
2017,FRA-homicide,1.06
2018,FRA-homicide,1.04
2019,FRA-homicide,1.12
2020,FRA-homicide,1.03
2021,FRA-homicide,1.08
2022,FRA-homicide,1.21
2023,FRA-homicide,1.3
2024,FRA-homicide,1.28
2010,FRA-sexuel,35.51
2011,FRA-sexuel,36.74
2012,FRA-sexuel,41.03
2013,FRA-sexuel,42.34
2014,FRA-sexuel,46.95
2015,FRA-sexuel,50.06
2016,FRA-sexuel,53.22
2017,FRA-sexuel,59.41
2018,FRA-sexuel,71.63
2019,FRA-sexuel,82.2
2020,FRA-sexuel,83.55
2021,FRA-sexuel,109.62
2022,FRA-sexuel,122.71
2023,FRA-sexuel,131.26
2024,FRA-sexuel,140.75
2010,FRA-stupefiants,9.08
2011,FRA-stupefiants,9.12
2012,FRA-stupefiants,9.04
2013,FRA-stupefiants,9.84
2014,FRA-stupefiants,10.46
2015,FRA-stupefiants,11.25
2016,FRA-stupefiants,362.98
2017,FRA-stupefiants,339.98
2018,FRA-stupefiants,368.68
2019,FRA-stupefiants,364.16
2020,FRA-stupefiants,322.88
2021,FRA-stupefiants,427.7
2022,FRA-stupefiants,488.82
2023,FRA-stupefiants,507.76
2024,FRA-stupefiants,559.65
2010,FRA-vol,1813.45
2011,FRA-vol,1791.04
2012,FRA-vol,1798.31
2013,FRA-vol,2118.89
2014,FRA-vol,2167.66
2015,FRA-vol,2101.67
2016,FRA-vol,2197.79
2017,FRA-vol,2181.31
2018,FRA-vol,2132.88
2019,FRA-vol,2143.76
2020,FRA-vol,1740.27
2021,FRA-vol,1743.03
2022,FRA-vol,1957.23
2023,FRA-vol,1956.01
2024,FRA-vol,1911.46
2010,FRA-vol-violent,187.19
2011,FRA-vol-violent,186.16
2012,FRA-vol-violent,189.67
2013,FRA-vol-violent,190.02
2014,FRA-vol-violent,173.02
2015,FRA-vol-violent,156.59
2016,FRA-vol-violent,158.52
2017,FRA-vol-violent,149.4
2018,FRA-vol-violent,137.99
2019,FRA-vol-violent,133.92
2020,FRA-vol-violent,110.2
2021,FRA-vol-violent,104.21
2022,FRA-vol-violent,100.19
2023,FRA-vol-violent,92.17
2024,FRA-vol-violent,82.81
2010,ITA-coups,109.59
2011,ITA-coups,115.39
2012,ITA-coups,117.06
2013,ITA-coups,111.11
2014,ITA-coups,1.6
2015,ITA-coups,1.72
2016,ITA-coups,1.64
2017,ITA-coups,1.84
2018,ITA-coups,1.63
2019,ITA-coups,1.68
2020,ITA-coups,1.41
2021,ITA-coups,1.47
2022,ITA-coups,1.46
2023,ITA-coups,1.37
2024,ITA-coups,2.04
2010,ITA-homicide,0.89
2011,ITA-homicide,0.93
2012,ITA-homicide,0.89
2013,ITA-homicide,0.85
2014,ITA-homicide,0.8
2015,ITA-homicide,0.77
2016,ITA-homicide,0.67
2017,ITA-homicide,0.62
2018,ITA-homicide,0.59
2019,ITA-homicide,0.53
2020,ITA-homicide,0.48
