period,series,value
2011,DEU-famille-femmes,0.17
2012,DEU-famille-femmes,0.17
2013,DEU-famille-femmes,0.19
2014,DEU-famille-femmes,0.18
2015,DEU-famille-femmes,0.17
2016,DEU-famille-femmes,0.18
2017,DEU-famille-femmes,0.19
2018,DEU-famille-femmes,0.18
2019,DEU-famille-femmes,0.15
2020,DEU-famille-femmes,0.19
2021,DEU-famille-femmes,0.2
2022,DEU-famille-femmes,0.14
2023,DEU-famille-femmes,0.22
2024,DEU-famille-femmes,0.15
2011,DEU-famille-hommes,0.17
2012,DEU-famille-hommes,0.22
2013,DEU-famille-hommes,0.14
2014,DEU-famille-hommes,0.17
2015,DEU-famille-hommes,0.15
2016,DEU-famille-hommes,0.17
2017,DEU-famille-hommes,0.17
2018,DEU-famille-hommes,0.19
2019,DEU-famille-hommes,0.15
2020,DEU-famille-hommes,0.19
2021,DEU-famille-hommes,0.16
2022,DEU-famille-hommes,0.13
2023,DEU-famille-hommes,0.16
2024,DEU-famille-hommes,0.18
2011,DEU-partenaire-femmes,0.39
2012,DEU-partenaire-femmes,0.27
2013,DEU-partenaire-femmes,0.35
2014,DEU-partenaire-femmes,0.41
2015,DEU-partenaire-femmes,0.34
2016,DEU-partenaire-femmes,0.39
2017,DEU-partenaire-femmes,0.37
2018,DEU-partenaire-femmes,0.3
2019,DEU-partenaire-femmes,0.29
2020,DEU-partenaire-femmes,0.35
2021,DEU-partenaire-femmes,0.29
2022,DEU-partenaire-femmes,0.32
2023,DEU-partenaire-femmes,0.38
2024,DEU-partenaire-femmes,0.33
2011,DEU-partenaire-hommes,0.06
2012,DEU-partenaire-hommes,0.05
2013,DEU-partenaire-hommes,0.07
2014,DEU-partenaire-hommes,0.07
2015,DEU-partenaire-hommes,0.06
2016,DEU-partenaire-hommes,0.04
2017,DEU-partenaire-hommes,0.09
2018,DEU-partenaire-hommes,0.07
2019,DEU-partenaire-hommes,0.08
2020,DEU-partenaire-hommes,0.08
2021,DEU-partenaire-hommes,0.03
2022,DEU-partenaire-hommes,0.05
2023,DEU-partenaire-hommes,0.06
2024,DEU-partenaire-hommes,0.06
2013,ESP-famille-femmes,0.08
2014,ESP-famille-femmes,0.05
2015,ESP-famille-femmes,0.07
2016,ESP-famille-femmes,0.08
2017,ESP-famille-femmes,0.07
2018,ESP-famille-femmes,0.11
2019,ESP-famille-femmes,0.1
2020,ESP-famille-femmes,0.12
2021,ESP-famille-femmes,0.06
2022,ESP-famille-femmes,0.11
2023,ESP-famille-femmes,0.05
2024,ESP-famille-femmes,0.11
2013,ESP-famille-hommes,0.12
2014,ESP-famille-hommes,0.06
2015,ESP-famille-hommes,0.07
2016,ESP-famille-hommes,0.08
2017,ESP-famille-hommes,0.1
2018,ESP-famille-hommes,0.07
2019,ESP-famille-hommes,0.11
2020,ESP-famille-hommes,0.12
2021,ESP-famille-hommes,0.07
2022,ESP-famille-hommes,0.06
2023,ESP-famille-hommes,0.07
2024,ESP-famille-hommes,0.12
2013,ESP-partenaire-femmes,0.23
2014,ESP-partenaire-femmes,0.24
2015,ESP-partenaire-femmes,0.25
2016,ESP-partenaire-femmes,0.2
2017,ESP-partenaire-femmes,0.2
2018,ESP-partenaire-femmes,0.2
2019,ESP-partenaire-femmes,0.19
2020,ESP-partenaire-femmes,0.19
2021,ESP-partenaire-femmes,0.19
2022,ESP-partenaire-femmes,0.22
2023,ESP-partenaire-femmes,0.23
2024,ESP-partenaire-femmes,0.2
2013,ESP-partenaire-hommes,0.02
2014,ESP-partenaire-hommes,0.02
2015,ESP-partenaire-hommes,0.04
2016,ESP-partenaire-hommes,0.03
