period,series,value
1999,DEU,95
2000,DEU,91
2001,DEU,85
2002,DEU,83
2003,DEU,80
2004,DEU,71
2005,DEU,65
2006,DEU,62
2007,DEU,60
2008,DEU,54
2009,DEU,51
2010,DEU,45
2011,DEU,50
2012,DEU,45
2013,DEU,41
2014,DEU,42
2015,DEU,43
2016,DEU,39
2017,DEU,39
2018,DEU,40
2019,DEU,37
2020,DEU,33
2021,DEU,31
2022,DEU,33
2023,DEU,34
2024,DEU,33
1999,ESP,142
2000,ESP,143
2001,ESP,136
2002,ESP,130
2003,ESP,129
2004,ESP,111
2005,ESP,103
2006,ESP,93
2007,ESP,85
2008,ESP,68
2009,ESP,59
2010,ESP,53
2011,ESP,44
2012,ESP,41
2013,ESP,36
2014,ESP,36
2015,ESP,36
2016,ESP,39
2017,ESP,39
2018,ESP,39
2019,ESP,37
2020,ESP,29
2021,ESP,32
2022,ESP,37
2023,ESP,38
2024,ESP,37
1999,EU27,43
2000,EU27,42
2001,EU27,40
2002,EU27,39
2003,EU27,37
2004,EU27,34
2005,EU27,33
2006,EU27,31
2007,EU27,31
2008,EU27,28
2009,EU27,25
2010,EU27,22
2011,EU27,22
2012,EU27,20
2013,EU27,18
2014,EU27,18
2015,EU27,18
2016,EU27,18
2017,EU27,18
2018,EU27,17
2019,EU27,17
2020,EU27,14
2021,EU27,15
2022,EU27,15
2023,EU27,15
2024,EU27,15
1999,FRA,141
2000,FRA,133
2001,FRA,134
2002,FRA,125
2003,FRA,98
2004,FRA,89
2005,FRA,85
2006,FRA,74
2007,FRA,73
2008,FRA,67
2009,FRA,66
2010,FRA,62
2011,FRA,61
2012,FRA,56
2013,FRA,50
2014,FRA,51
2015,FRA,52
2016,FRA,52
2017,FRA,52
2018,FRA,48
2019,FRA,48
2020,FRA,38
2021,FRA,43
2022,FRA,48
2023,FRA,46
2024,FRA,46
1999,ITA,118
2000,ITA,124
2001,ITA,125
2002,ITA,122
2003,ITA,115
2004,ITA,106
2005,ITA,100
2006,ITA,97
2007,ITA,88
2008,ITA,80
2009,ITA,71
2010,ITA,69
2011,ITA,64
2012,ITA,62
2013,ITA,56
2014,ITA,56
2015,ITA,57
2016,ITA,55
2017,ITA,56
2018,ITA,56
2019,ITA,53
2020,ITA,40
2021,ITA,49
2022,ITA,54
2023,ITA,52
2024,ITA,51
