period,series,value
2014,DEU,83.4
2015,DEU,85.3
2016,DEU,87.3
2017,DEU,89.5
2018,DEU,88.4
2019,DEU,86.5
2020,DEU,82.4
2021,DEU,79.4
2022,DEU,79.1
2023,DEU,81.8
2024,DEU,81.6
2016,ESP,92.9
2017,ESP,91.7
2018,ESP,91.7
2019,ESP,91.1
2020,ESP,73.5
2021,ESP,73.9
2022,ESP,75
2023,ESP,73.8
2024,ESP,80.1
2008,FRA,119.7
2009,FRA,110.9
2010,FRA,107.4
2011,FRA,113.2
2012,FRA,116.8
2013,FRA,116.6
2014,FRA,114.6
2015,FRA,113.9
2016,FRA,116.6
2017,FRA,115.4
2018,FRA,116.5
2019,FRA,115.9
2020,FRA,103.2
2021,FRA,114.3
2022,FRA,119
2023,FRA,122.9
2024,FRA,129.3
2008,ITA,135.2
2009,ITA,146.3
2010,ITA,151.3
2011,ITA,147.1
2012,ITA,140.2
2013,ITA,131.5
2014,ITA,108.9
2015,ITA,106.3
2016,ITA,110.2
2017,ITA,115.6
2018,ITA,119.5
2019,ITA,121.4
2020,ITA,106.8
2021,ITA,107.7
2022,ITA,111
2023,ITA,119.1
2024,ITA,122.4
2008,POL,99.9
2009,POL,99.7
2010,POL,94.9
2011,POL,94.2
2012,POL,96.6
2013,POL,90.4
2014,POL,90.4
2015,POL,81.5
2016,POL,81
2017,POL,85.7
2018,POL,84.7
2019,POL,87
2020,POL,79.4
2021,POL,83.3
2022,POL,82
2023,POL,84.9
2024,POL,78.4
