period,series,value
2008,DEU,89.8
2009,DEU,88.2
2010,DEU,86.6
2011,DEU,86.7
2012,DEU,85.3
2013,DEU,82.2
2014,DEU,78.3
2015,DEU,77.6
2016,DEU,78.2
2017,DEU,79.8
2018,DEU,79.4
2019,DEU,76.1
2020,DEU,71.7
2021,DEU,69.2
2022,DEU,69
2023,DEU,71.2
2024,DEU,70.5
2008,ESP,161.1
2009,ESP,164.5
2010,ESP,159
2011,ESP,151
2012,ESP,146.5
2013,ESP,142.9
2014,ESP,139.8
2015,ESP,132.7
2016,ESP,128.3
2017,ESP,126.4
2018,ESP,126.2
2019,ESP,124.7
2020,ESP,116.6
2021,ESP,116.2
2022,ESP,117.5
2023,ESP,117.9
2024,ESP,121.8
2008,FRA,97.3
2009,FRA,94.8
2010,FRA,93.6
2011,FRA,99.7
2012,FRA,102
2013,FRA,102.3
2014,FRA,100.5
2015,FRA,100.3
2016,FRA,102.5
2017,FRA,103.3
2018,FRA,104.7
2019,FRA,105.3
2020,FRA,92.9
2021,FRA,102.7
2022,FRA,106.3
2023,FRA,111.2
2024,FRA,117.5
2008,ITA,101.1
2009,ITA,111.2
2010,ITA,117
2011,ITA,115.1
2012,ITA,113
2013,ITA,107
2014,ITA,90.1
2015,ITA,87.9
2016,ITA,92.3
2017,ITA,97.4
2018,ITA,101.1
2019,ITA,104
2020,ITA,91.6
2021,ITA,93.4
2022,ITA,97.3
2023,ITA,104.4
2024,ITA,107.7
2008,POL,223
2009,POL,224.9
2010,POL,216.6
2011,POL,217.6
2012,POL,224.5
2013,POL,210.6
2014,POL,208.7
2015,POL,191.3
2016,POL,190.2
2017,POL,196.1
2018,POL,191.7
2019,POL,196.5
2020,POL,180.1
2021,POL,191
2022,POL,190.5
2023,POL,202.7
2024,POL,190.7
