country;variable;percentile;year;value
FR;lpfghgi999;p0p50;1980;9.8866396
FR;lpfghgi999;p0p50;1981;8.908
FR;lpfghgi999;p0p50;1982;8.4913597
FR;lpfghgi999;p0p50;1983;8.1178999
FR;lpfghgi999;p0p50;1984;7.8027
FR;lpfghgi999;p0p50;1985;7.8424397
FR;lpfghgi999;p0p50;1986;7.65728
FR;lpfghgi999;p0p50;1987;7.7775197
FR;lpfghgi999;p0p50;1988;7.6526999
FR;lpfghgi999;p0p50;1989;7.7954798
FR;lpfghgi999;p0p50;1990;7.5120797
FR;lpfghgi999;p0p50;1991;7.6817398
FR;lpfghgi999;p0p50;1992;8.2569599
FR;lpfghgi999;p0p50;1993;7.5592198
FR;lpfghgi999;p0p50;1994;7.3263798
FR;lpfghgi999;p0p50;1995;7.5650201
FR;lpfghgi999;p0p50;1996;7.4767599
FR;lpfghgi999;p0p50;1997;7.2823396
FR;lpfghgi999;p0p50;1998;7.4703598
FR;lpfghgi999;p0p50;1999;7.4527197
FR;lpfghgi999;p0p50;2000;7.4595199
FR;lpfghgi999;p0p50;2001;7.3783798
FR;lpfghgi999;p0p50;2002;7.3364
FR;lpfghgi999;p0p50;2003;7.3678598
FR;lpfghgi999;p0p50;2004;7.5553198
FR;lpfghgi999;p0p50;2005;7.4909797
FR;lpfghgi999;p0p50;2006;7.2893996
FR;lpfghgi999;p0p50;2007;7.3621197
FR;lpfghgi999;p0p50;2008;7.2263999
FR;lpfghgi999;p0p50;2009;6.8944597
FR;lpfghgi999;p0p50;2010;6.7869
FR;lpfghgi999;p0p50;2011;6.8617601
FR;lpfghgi999;p0p50;2012;6.2633801
FR;lpfghgi999;p0p50;2013;6.14502
FR;lpfghgi999;p0p50;2014;5.8484197
FR;lpfghgi999;p0p50;2015;5.7702799
FR;lpfghgi999;p0p50;2016;5.7151999
FR;lpfghgi999;p0p50;2017;5.8562598
FR;lpfghgi999;p0p50;2018;5.7627797
FR;lpfghgi999;p0p50;2019;5.6012998
FR;lpfghgi999;p50p90;1980;16.952576
FR;lpfghgi999;p50p90;1981;15.227151
FR;lpfghgi999;p50p90;1982;14.498276
FR;lpfghgi999;p50p90;1983;13.841475
FR;lpfghgi999;p50p90;1984;13.427
FR;lpfghgi999;p50p90;1985;13.359751
FR;lpfghgi999;p50p90;1986;13.020201
FR;lpfghgi999;p50p90;1987;13.20195
FR;lpfghgi999;p50p90;1988;13.008125
FR;lpfghgi999;p50p90;1989;13.327576
FR;lpfghgi999;p50p90;1990;12.97795
FR;lpfghgi999;p50p90;1991;13.145526
FR;lpfghgi999;p50p90;1992;14.311701
FR;lpfghgi999;p50p90;1993;13.267076
FR;lpfghgi999;p50p90;1994;13.002726
FR;lpfghgi999;p50p90;1995;12.910251
FR;lpfghgi999;p50p90;1996;12.835
FR;lpfghgi999;p50p90;1997;12.17625
FR;lpfghgi999;p50p90;1998;12.642
FR;lpfghgi999;p50p90;1999;12.467925
FR;lpfghgi999;p50p90;2000;12.44375
FR;lpfghgi999;p50p90;2001;12.2293
FR;lpfghgi999;p50p90;2002;12.100625
FR;lpfghgi999;p50p90;2003;12.070101
FR;lpfghgi999;p50p90;2004;12.387925
FR;lpfghgi999;p50p90;2005;12.210151
FR;lpfghgi999;p50p90;2006;11.852276
FR;lpfghgi999;p50p90;2007;11.961375
FR;lpfghgi999;p50p90;2008;11.689626
FR;lpfghgi999;p50p90;2009;11.0529
FR;lpfghgi999;p50p90;2010;10.927876
FR;lpfghgi999;p50p90;2011;11.026925
FR;lpfghgi999;p50p90;2012;10.0704
FR;lpfghgi999;p50p90;2013;9.8790751
FR;lpfghgi999;p50p90;2014;9.4721508
FR;lpfghgi999;p50p90;2015;9.5138254
FR;lpfghgi999;p50p90;2016;9.4032001
FR;lpfghgi999;p50p90;2017;9.6119499
FR;lpfghgi999;p50p90;2018;9.4939251
